iter	Logloss
0	0.6760711191
1	0.6602980276
2	0.6426908992
3	0.6294113002
4	0.6172333708
5	0.6065261082
6	0.5954815862
7	0.5828392864
8	0.5738940094
9	0.5645266224
10	0.555939315
11	0.5480735792
12	0.5405293586
13	0.5339089834
14	0.5277474269
15	0.5216635331
16	0.5142060827
17	0.5085799823
18	0.5038007711
19	0.4989865718
20	0.4945476028
21	0.4891939534
22	0.4850063304
23	0.4811118187
24	0.4775150206
25	0.4745049916
26	0.4710355434
27	0.4665843549
28	0.4632352716
29	0.4603844438
30	0.4567034741
31	0.4532934337
32	0.4508805605
33	0.4477815095
34	0.4454388625
35	0.4425213577
36	0.4404271894
37	0.4382476896
38	0.4361949812
39	0.4340572274
40	0.4315693947
41	0.4298173284
42	0.4283256731
43	0.4269318016
44	0.4251783909
45	0.4229102838
46	0.4207890775
47	0.4187419146
48	0.4167868062
49	0.4150711789
50	0.4124592636
51	0.4109367888
52	0.4095488184
53	0.4077480807
54	0.4064308878
55	0.4051064955
56	0.4036242147
57	0.4019425256
58	0.4007344871
59	0.3993279687
60	0.3979927333
61	0.3966949497
62	0.3949946711
63	0.393501562
64	0.39257856
65	0.3911592889
66	0.3900911306
67	0.3888869971
68	0.3874648068
69	0.3860656403
70	0.3850011062
71	0.3837055091
72	0.3826122185
73	0.381514934
74	0.3803025069
75	0.3791596762
76	0.3781760869
77	0.3772479101
78	0.3763246547
79	0.3755464464
80	0.3747356335
81	0.3737645179
82	0.3730107757
83	0.3722261018
84	0.3715015906
85	0.3704747002
86	0.3696854809
87	0.3686656637
88	0.367871687
89	0.3671578212
90	0.3665080479
91	0.3654837384
92	0.3645722702
93	0.3636034783
94	0.3622788321
95	0.3612046888
96	0.3603403181
97	0.3595338411
98	0.3590523163
99	0.3582545957
100	0.3574039994
101	0.3568846982
102	0.356318092
103	0.3557112746
104	0.3550719176
105	0.3544665023
106	0.3539224792
107	0.3531146527
108	0.3525646681
109	0.3521406782
110	0.3515069716
111	0.3508488348
112	0.350584177
113	0.3501550601
114	0.3495431321
115	0.3487325024
116	0.3483045369
117	0.3479207994
118	0.3470950209
119	0.3462203521
120	0.3455470408
121	0.3451319963
122	0.3445596702
123	0.3442246613
124	0.3438096037
125	0.3433143045
126	0.3428212355
127	0.342351596
128	0.3420315312
129	0.341321101
130	0.3407329565
131	0.3401644554
132	0.3397087216
133	0.3392716394
134	0.3389156983
135	0.3385658135
136	0.3380686628
137	0.337694204
138	0.3368500458
139	0.3363950844
140	0.3360144751
141	0.335526619
142	0.3349724122
143	0.3344424822
144	0.3339775569
145	0.3335525002
146	0.3329641441
147	0.3325599353
148	0.3321277221
149	0.3316058479
150	0.3307265496
151	0.3298710733
152	0.3294690111
153	0.3291892605
154	0.3286681624
155	0.3283898938
156	0.3281389572
157	0.3276921967
158	0.3269172758
159	0.3265107377
160	0.3260628981
161	0.3253529644
162	0.3250269255
163	0.3246224522
164	0.3240431632
165	0.3237376344
166	0.323145736
167	0.3227958587
168	0.3225202186
169	0.3222600158
170	0.3217894099
171	0.3214049508
172	0.3212418594
173	0.3209534011
174	0.3205352717
175	0.320221381
176	0.3199083019
177	0.3193863345
178	0.3188810172
179	0.3186432799
180	0.3184271256
181	0.3180546563
182	0.3176230894
183	0.3173998574
184	0.3168849257
185	0.3165503082
186	0.3163070498
